8C,Player,Tm,G,MIN,PTS,FGM,FGA,FG%,3PT,FTM,FTA,FT%,AST,REB,STL,BLK,TO,ID
18,Al Jefferson,CHA,77,34,19.6,8.5,17,0.501,0,2.6,3.5,0.739,1.9,9.8,0.8,1,1.6,1055
84,Reggie Jackson,OKC,80,29,14.1,5.3,11.9,0.445,1.2,2.3,2.6,0.898,4.3,4,1.2,0.1,2.1,1846
46,Joakim Noah,CHI,73,33,10.7,4,7.9,0.505,0,2.7,3.7,0.742,3.6,10.3,1.1,1.5,1.9,1361
57,Terrence Jones,HOU,80,32,15.6,6.4,11.9,0.534,0.6,2.2,3.5,0.637,1.4,8.5,0.9,1.5,1.2,1838
12,LaMarcus Aldridge,POR,69,35,21.5,8.8,18.7,0.468,0,4,4.9,0.821,2.5,9.8,0.8,0.9,1.7,1249
99,Tobias Harris,ORL,75,34,17.5,6.4,13.9,0.459,1,3.7,4.6,0.803,1.8,8.2,0.9,0.9,1.7,1849
77,George Hill,IND,77,34,14.5,5.1,11.6,0.44,1.8,2.5,3,0.82,5.5,3.9,1,0.3,1.6,1527
64,Brandon Jennings,DET,79,33,15.4,5.3,13.3,0.4,1.9,2.9,3.6,0.799,7.1,3,1.3,0.1,2.4,1553
30,Derrick Favors,UTA,74,32,15.2,6,11.3,0.529,0,3.3,4.9,0.672,1.3,9.4,1.1,1.7,2,1713
88,Patrick Beverley,HOU,75,36,12.9,4.5,10.8,0.416,1.9,1.9,2.4,0.819,4,3.9,1.6,0.5,1.6,1645
45,Thaddeus Young,MIN,77,34,16.8,7.4,16.1,0.46,1,1.9,2.7,0.721,2.1,6.3,1.9,0.6,1.9,1367
92,Greg Monroe,DET,79,34,16.5,6.6,13.1,0.502,0,3.3,4.7,0.698,2.4,9.7,1.3,0.7,2.2,1708
36,Deron Williams,BKN,68,34,15.7,5.5,12.5,0.44,1.7,3,3.7,0.817,7.4,2.8,1.4,0.3,2.5,1130
50,Markieff Morris,PHO,81,31,16,5.7,12.2,0.469,0.6,3.9,4.9,0.783,2.1,7.2,1,0.7,2,1843
97,Larry Sanders,MLW,75,30,11.1,4.7,9.4,0.499,0,1.7,2.9,0.604,1.3,10.4,0.8,2.8,1.3,1733
48,Rudy Gay,SAC,74,35,20,7.4,16.6,0.448,0.9,4.3,5.2,0.812,2.8,5.4,1.2,0.6,3.3,1257
73,Robin Lopez,POR,79,32,11.4,4.4,8,0.558,0,2.5,3.1,0.807,0.9,8.6,0.3,1.7,1.1,1494
56,Jonas Valanciunas,TOR,77,33,14.1,5.5,10.3,0.541,0,3.1,3.9,0.773,0.8,10.1,0.4,1.4,2.1,1832
93,Josh McRoberts,MIA,77,34,11.1,4.2,9.4,0.444,1.6,1.1,1.5,0.735,4.8,8.1,0.8,0.7,1.6,1379
62,Marcin Gortat,WAS,79,33,13.7,5.8,10.7,0.545,0,2,3,0.675,1.8,9.6,0.5,1.5,1.8,1188
94,Isaiah Thomas,PHO,78,28,15.8,5.3,11.6,0.457,1.6,3.6,4.1,0.884,4.2,2.1,0.9,0.1,1.9,1889
67,Trevor Ariza,HOU,72,35,13.2,4.6,10.5,0.44,2.2,1.9,2.4,0.794,2.5,5.8,1.6,0.3,1.6,1083
75,Rajon Rondo,BOS,66,36,14.3,5.7,12.5,0.461,1.2,1.7,2.6,0.634,10.5,5.8,1.7,0.2,3.5,1272
25,Kobe Bryant,LAK,68,32,18.1,6.3,14,0.45,1.4,4,4.8,0.846,5.8,4.1,1,0.2,3,430
90,Draymond Green,GS,81,27,9.2,3.3,7.8,0.419,1,1.6,2.2,0.721,2.5,6.6,1.5,1.2,1.4,1981
199,Mason Plumlee,BKN,81,27,10.3,4.1,6.4,0.645,0,2.1,3.2,0.653,1.9,7,1,0.9,1.5,2132
105,Jamal Crawford,LAC,74,30,18,6,13.9,0.427,2.2,3.9,4.4,0.886,3,2.2,0.9,0.2,1.9,685
83,Darren Collison,SAC,78,28,12.8,4.2,9.4,0.448,1,2.6,3,0.869,5.1,2.5,1.3,0.2,2.2,1634
39,Derrick Rose,CHI,64,33,19.6,6.8,15.4,0.44,1.6,4.4,5.3,0.834,6.7,3,0.8,0.6,2.7,1476
47,Bradley Beal,WAS,75,35,18,6.7,16,0.422,2.2,2.3,2.9,0.795,3.5,3.9,1.1,0.3,1.9,1966
68,Lance Stephenson,CHA,78,37,14.3,5.6,11.6,0.481,1.3,1.9,2.7,0.71,4.6,7.1,0.9,0.1,2.5,1744
79,Jose Calderon,NY,75,29,11,4.1,8.6,0.474,2.1,0.7,0.8,0.885,4.8,2.1,0.8,0.1,1.4,1171
110,J.J. Redick,LAC,72,29,16.1,5.4,11.9,0.457,2.3,2.9,3.2,0.904,2.4,2.2,0.8,0.1,1.3,1264
82,Giannis Antetokounmpo,MLW,80,32,12.7,4.4,10.9,0.409,0.9,2.9,4.2,0.697,3.8,6.3,1.3,1.2,2.6,2143
129,Danny Green,SA,77,26,9.9,3.5,7.9,0.439,2.1,0.8,1,0.816,1.7,3.7,1.1,0.9,1.2,1482
102,Brandon Knight,MLW,76,33,17.9,6.4,14.9,0.428,1.6,3.6,4.5,0.79,5.1,3.4,1,0.2,2.5,1828
66,David West,IND,74,32,16.1,6.7,14.2,0.472,0.1,2.6,3.3,0.795,3.1,6.9,0.8,0.9,2.1,944
61,Tim Duncan,SA,71,27,13.8,5.5,10.8,0.512,0,2.7,3.7,0.729,2.5,8.7,0.5,1.6,1.8,467
189,Corey Brewer,MIN,82,33,13.8,5.4,11.5,0.47,0.9,2.1,3,0.707,1.8,3,2,0.4,1.3,1364
106,Arron Afflalo,DEN,73,35,17.4,6,13,0.459,1.9,3.5,4.3,0.817,3,3.6,0.5,0.5,1.8,1394
100,Roy Hibbert,IND,79,30,12.1,4.7,10.7,0.44,0,2.8,3.7,0.754,1.2,8.3,0.4,2.3,2.1,1370
65,Nerlens Noel,PHI,75,29,9.1,3.8,6.8,0.56,0,1.5,2.6,0.551,1.3,7.1,1.3,1.9,1.9,2112
111,Jeff Green,BOS,80,33,17.3,6.2,14.1,0.441,1.5,3.4,4.3,0.795,1.6,4.5,0.7,0.6,1.8,1365
125,Gorgui Dieng,MIN,81,24,9.3,3.7,7.1,0.519,0,2,2.9,0.684,1.1,8.4,0.9,1.3,1.5,2136
109,DeMarre Carroll,ATL,74,31,11.1,4,8.8,0.46,1.5,1.5,2,0.776,1.8,5.2,1.5,0.3,1.2,1479
139,Brandan Wright,DAL,70,24,11.8,5,7.9,0.635,0,1.8,2.4,0.719,0.7,5.2,0.8,1.5,0.8,1360
186,Gerald Green,PHO,81,25,12.7,4.4,9.8,0.447,2,2,2.4,0.833,1.2,3,0.8,0.5,1.4,1135
147,Timofey Mozgov,DEN,80,27,12,4.4,8.4,0.522,0,3.3,4.3,0.759,1,7.9,0.3,1.4,1.8,1771
115,Tyson Chandler,DAL,69,30,11.1,4.4,6.9,0.638,0,2.3,3.5,0.667,1,9.9,0.7,1,1.3,765
120,Amir Johnson,TOR,75,28,10.2,4.2,7.5,0.559,0.5,1.3,1.8,0.691,1.4,6.6,0.8,1.2,1.5,1179
251,Kyle O'Quinn,ORL,75,22,8.9,3.9,7.5,0.523,0,1.1,1.5,0.702,1.7,6.8,0.8,1.8,1.5,2021
78,Ryan Anderson,NO,69,33,16.3,5.9,13.6,0.432,2.5,2.1,2.4,0.873,0.9,5.7,0.5,0.3,0.9,1488
91,Jimmy Butler,CHI,77,34,10.3,3.3,7.8,0.426,0.9,2.7,3.4,0.785,4,2.1,1.7,0.5,1.2,1870
80,Tyreke Evans,NO,70,33,16.3,6,13.5,0.446,0.6,3.7,4.8,0.775,4.1,4.7,1.4,0.4,2.7,1615
74,David Lee,GS,74,29,14.9,6.1,11.5,0.532,0,2.7,3.4,0.786,2,7.7,0.6,0.3,1.8,1158
156,Spencer Hawes,LAC,77,26,10.8,4.1,8.6,0.468,1.5,1.2,1.6,0.787,1.9,6.1,0.4,0.8,1.5,1372
114,Avery Bradley,BOS,71,32,16.6,6.5,15,0.435,1.6,2,2.5,0.795,2,3.9,1.4,0.2,1.8,1730
95,Jodie Meeks,DET,78,32,11.5,4,9.1,0.444,1.8,1.6,1.8,0.9,1.3,2.1,1.1,0.1,1.1,1594
135,Paul Pierce,WAS,73,27,13.3,4.3,9.7,0.448,1.5,3,3.7,0.816,2.4,4.3,1,0.3,1.8,536
98,Channing Frye,ORL,76,27,10.7,3.9,9,0.437,1.9,0.9,1.1,0.833,1.1,4.7,0.6,0.8,1.1,1127
104,Jared Sullinger,BOS,72,30,15.2,5.8,13.2,0.442,1.1,2.4,3.1,0.778,1.7,8.9,0.6,0.7,1.8,1960
206,Rudy Gobert,UTA,81,23,8.2,3,5,0.6,0,2.2,3.2,0.687,0.4,7,0.4,1.7,1.4,2131
132,Terrence Ross,TOR,81,28,11.7,4.2,9.8,0.428,2.1,1.1,1.4,0.823,1.2,3.3,0.8,0.3,1.3,1956
126,Kevin Martin,MIN,73,27,16.5,5.5,12.9,0.429,1.6,3.8,4.3,0.891,1.7,2.7,0.9,0.1,1.5,1066
59,Kyle Korver,ATL,71,29,9.5,3.2,6.8,0.467,2.2,0.9,1,0.915,2.4,3.2,0.8,0.2,1.1,977
71,Pau Gasol,CHI,70,26,10.9,4.3,8.1,0.533,0.1,2.2,2.8,0.774,2.9,7.2,0.4,1.2,1.8,766
208,Samuel Dalembert,NY,76,26,8.2,3.3,6.5,0.506,0,1.6,2.2,0.728,0.6,8.9,0.6,1.5,1.4,787
